"rules","support","confidence","coverage","lift","count","imbalance","kulczynski"
"{n_char=largo,retweet_source=Twitter for Android} => {difusion=alta}",0.0421863003465377,0.284355549339115,0.14835757714096,1.09216372664392,4066,0.305573640558213,0.223193156832624
"{retweet_es_finde=Finde,retweet_source=Twitter for Android} => {difusion=alta}",0.0535473428648503,0.27710067114094,0.193241476624266,1.06429891152889,5161,0.167773224752321,0.241383682187191
"{fecha_inicio_T_momento=Tarde,n_char=largo} => {difusion=alta}",0.0520636633396277,0.291067285382831,0.178871573530327,1.11794242048968,5018,0.2104727194769,0.245517702626061
"{n_char=largo,retweet_es_finde=Laborable} => {difusion=alta}",0.0418854142889751,0.270340855822675,0.154935568882156,1.03833555295692,4037,0.282328424562378,0.215607982705312
"{fecha_inicio_T_momento=Noche,n_char=largo} => {difusion=alta}",0.0577078707642506,0.312138728323699,0.184878919300284,1.19887442867996,5562,0.194773901635833,0.266892668537398
"{n_char=largo,polaridad=Neutro} => {difusion=alta}",0.052904069224544,0.277708185828659,0.190502375962317,1.06663227729887,5099,0.175539680884347,0.240452084466095
"{n_char=largo,retweet_es_finde=Finde} => {difusion=alta}",0.0877861011392169,0.314699099903295,0.27895250150443,1.20870840228259,8461,0.0411774167604953,0.325935666154724
"{fecha_inicio_T_momento=Noche,retweet_es_finde=Finde} => {difusion=alta}",0.0774314706065448,0.305585128163132,0.253387561992903,1.17370310921411,7463,0.0159798349701566,0.301493448755193
"{retweet_source=TweetDeck,retweet_verified=Verificados,RT_popular=muy muchos} => {difusion=alta}",0.0126060882737441,0.28777830412127,0.0438048598285987,1.10530997480737,1215,0.742749368349881,0.168098126317429
"{1_resp=desde el pasado,fecha_inicio_T_momento=Mañana,retweet_es_finde=Finde} => {difusion=alta}",0.0108526488348447,0.411325206449076,0.0263845946338528,1.57983366732983,1046,0.848068895490956,0.226504238675243
"{fecha_inicio_T_momento=Mañana,retweet_es_finde=Finde,RT_popular=muy muchos} => {difusion=alta}",0.0101263721441763,0.447501146263182,0.0226287066049677,1.71877960784004,976,0.871249857409027,0.243197452863798
"{fecha_inicio_T_momento=Mañana,n_char=largo,retweet_es_finde=Finde} => {difusion=alta}",0.0140067647486045,0.315715622076707,0.0443651304185429,1.21261269972891,1350,0.742969307637402,0.184756671323681
